Title,Score,Number_Votes
The Wire,8.8,"50,549"
Breaking Bad,8.8,"106,135"
The Simpsons,8.6,"173,009"
Game of Thrones,8.5,"115,855"
The Sopranos,8.5,"60,476"
Band of Brothers,8.5,"62,566"
Chernobyl,8.5,"52,452"
True Detective,8.5,"69,107"
Monty Python's Flying Circus,8.4,"12,983"
Dekalog: The Ten Commandments,8.3,"2,616"
Rick and Morty,8.3,"32,222"
Frieren: Beyond Journey's End,8.3,"1,413"
Fullmetal Alchemist: Brotherhood,8.3,"12,106"
"I, Claudius",8.3,"9,746"
Fanny and Alexander,8.3,"1,335"
Romanzo Criminale,8.2,"8,902"
Arcane: League of Legends,8.2,"15,753"
Bluey,8.2,"1,893"
Fargo,8.2,"43,197"
Black Mirror,8.2,"37,725"
Friends,8.2,"144,011"
Samuel,8.2,589
The Corner,8.2,"5,026"
Death Note,8.2,"44,014"
Scavengers Reign,8.1,"1,199"
The Office,8.1,"35,392"
Blue Eye Samurai,8.1,"7,431"
Ghost in the Shell: Stand Alone Complex 2nd GIG,8.1,"1,950"
Hunter x Hunter,8.1,"2,783"
Tear Along the Dotted Line,8.1,"9,082"
Treme,8.1,"9,208"
Code Geass: Lelouch of the Rebellion R2,8.1,"2,823"
Peaky Blinders,8.1,"37,504"
Scenes from a Marriage,8,"1,524"
The Best of Youth,8,"6,863"
Clannad: After Story,8,"1,025"
Jujutsu Kaisen 2,8,"1,235"
Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,8,"2,654"
The Twilight Zone,8,"4,421"
Cowboy Bebop,8,"17,501"
Fargo: Year Two,8,"29,266"
Hajime no Ippo: New Challenger,8,"1,014"
The Bureau,8,"2,023"
Over the Garden Wall,8,"7,102"
Succession,8,"19,426"
Fighting Spirit (Hajime no Ippo),8,"2,027"
Gravity Falls,8,"4,187"
BoJack Horseman,8,"12,428"
Six Feet Under,8,"42,855"
Sherlock,8,"43,722"
The Pretenders,8,"4,653"
Okupas,8,"3,114"
Better Call Saul,8,"30,164"
Hajime no Ippo Rising,8,612
The Tatami Galaxy,7.9,922
Steins;Gate,7.9,"3,614"
Star Wars: The Clone Wars. The Final Season,7.9,"2,612"
Freaks and Geeks,7.9,"7,964"
The Shield,7.9,"8,388"
Boardwalk Empire,7.9,"25,529"
Mad Men,7.9,"34,901"
Gomorrah,7.9,"10,436"
Last Week Tonight with John Oliver,7.9,804
