Title,Tomato_Critic,Tomato_User,Taste,Taste_Users,ReelGood,ReelGood_Users,JustWatch,JustWatch_User,TMDB,TMDB_User,MAL,MAL_Users,FA_Score,FA_Votes,Imdb_Score,Imdb_Votes
Planet Earth II,10,9.4,8.5,9700,8.6,405,8.6,1300,8.6,821,N/A,N/A,8.9,4596,9.4,166414
The Wire,9.5,9.6,8.9,11000,9.7,4238,9.5,21000,8.6,2355,N/A,N/A,8.8,50549,9.3,402898
The Sopranos,9.2,9.6,8.7,13800,9.8,4700,9.5,22000,8.7,2960,N/A,N/A,8.5,60476,9.2,523915
Breaking Bad,9.6,9.7,8.9,90700,10,15000,9.7,79000,8.9,15520,N/A,N/A,8.8,106135,9.5,2328705
Band of Brothers,9.4,9.7,8.9,16900,9.8,3900,9.7,24000,8.6,3746,N/A,N/A,8.5,62566,9.4,561514
Frozen Planet,N/A,10,7.9,2600,7.5,88,N/A,N/A,8.3,280,N/A,N/A,8.3,1084,9,35606
Game of Thrones,8.9,8.5,8.5,89600,9.9,13000,9.6,77000,8.5,24971,N/A,N/A,8.5,115855,9.2,2431950
The Vietnam War,9.6,9.5,8.1,678,8.6,213,8.7,1000,8.2,190,N/A,N/A,8.2,1194,9.1,31386
Bluey,N/A,7.8,8.2,328,7.9,596,7.2,4200,8.6,603,N/A,N/A,8.2,1893,9.3,38408
The Last Dance,9.7,9.5,8.5,5800,8.8,3000,9.5,13000,8.2,1346,N/A,N/A,8.2,16375,9,166424
Our Planet,9.6,9,8,3300,8.4,527,8.9,3000,8.5,393,N/A,N/A,8.5,3276,9.2,56709
Fullmetal Alchemist: Brotherhood,10,9.3,8.8,6800,8.6,1700,9.2,7800,8.7,2175,9.1,2216012,8.3,12106,9.1,220924
Chernobyl,9.5,9.7,9,38700,9.9,7700,9.8,57000,8.7,6815,N/A,N/A,8.5,52452,9.3,948652
Rick and Morty,9,8.4,8,68500,9.2,8100,9.2,39000,8.7,10137,N/A,N/A,8.3,32222,9.1,649173
The Simpsons,8.5,7.6,7.2,38000,9,3000,9.3,17000,8,10188,N/A,N/A,8.6,173009,8.6,453268
Dekalog: The Ten Commandments,N/A,N/A,8.4,131,7.6,15,7.2,123,8.5,85,N/A,N/A,8.3,2616,8.9,30707
Frieren: Beyond Journey's End,10,9.4,8.8,276,8.7,125,9,2000,8.8,432,9.3,656028,8.3,1413,8.9,41343
Monty Python's Flying Circus,10,8.5,7.8,6700,8.8,529,8.8,3000,8.2,642,N/A,N/A,8.4,12983,8.8,82459
Sherlock,7.8,8.3,8.6,59700,9.8,6600,9.7,40000,8.5,5741,N/A,N/A,8,43722,9,1047740
Arcane: League of Legends,10,8.7,8.8,9300,9.2,2000,9.5,30000,8.8,5115,N/A,N/A,8.2,15753,9,394530
Fleabag,10,9.3,8.7,15500,9.3,4900,9.4,27000,8.3,1569,N/A,N/A,7.8,21179,8.7,226812
Avatar: The Last Airbender,10,9.8,8.9,23300,9.4,5000,9.4,18000,8.7,4335,N/A,N/A,7.8,7239,9.3,405797
Hunter x Hunter,N/A,9.2,8.8,2600,7.9,1100,8.8,5700,8.7,1867,9.03,1874602,8.1,2783,9,163567
Death Note,10,9.6,8.6,12400,8.8,2100,9.5,14000,8.6,4370,8.62,2873771,8.2,44014,8.9,424665
"I, Claudius",10,9.2,7.2,67,8.1,77,7.9,711,7.8,117,N/A,N/A,8.3,9746,8.8,20931
Better Call Saul,9.8,9.6,8.2,33300,9.6,7400,9.5,45000,8.7,5627,N/A,N/A,8,30164,9,730514
The Beatles: Get Back,9.3,9.4,7.9,962,7.6,570,8.8,5200,8.4,368,N/A,N/A,8.2,2810,8.9,32145
Blue Eye Samurai,9.7,9.3,8.9,798,8.7,476,9.5,6700,8.5,547,N/A,N/A,8.1,7431,8.7,90980
The Twilight Zone,9.2,9.6,8.2,9300,9.2,1600,9.3,3600,8.4,933,N/A,N/A,8,4421,9,100507
Attack on Titan,9.6,9.5,7.9,13100,8.8,2900,9.1,20000,8.7,6744,8.71,2931924,7.9,18576,9.1,609122
Freaks and Geeks,10,9.6,8.1,12200,9.4,2000,9.5,4900,8.2,789,N/A,N/A,7.9,7964,8.8,159773
The Shield,9,9.6,7.4,1100,9.2,767,9.1,4200,8.1,772,N/A,N/A,7.9,8388,8.7,92976
