Title,Score,Number_Votes
Breaking Bad,9.5,2329521
Planet Earth II,9.4,166449
Planet Earth,9.4,227345
Band of Brothers,9.4,561638
Chernobyl,9.3,949027
The Wire,9.3,402991
Avatar: The Last Airbender,9.3,405910
Blue Planet II,9.3,51750
The Sopranos,9.2,524115
Cosmos: A Spacetime Odyssey,9.2,134086
Cosmos,9.3,47870
Our Planet,9.2,56725
Game of Thrones,9.2,2432478
Bluey,9.3,38432
The World at War,9.2,33022
Hagane no renkinjutsushi,9.1,221014
Life,9.1,45697
Rick and Morty,9.1,649415
The Last Dance,9,166467
The Twilight Zone,9,100528
Shingeki no Kyojin,9.1,609497
The Vietnam War,9.1,31394
Sherlock,9,1048008
Batman: The Animated Series,9,126986
Arcane: League of Legends,9,394736
Better Call Saul,9,730880
The Office,9,774774
The Blue Planet,9,45685
Scam 1992: The Harshad Mehta Story,9.2,164730
Clarkson&apos;s Farm,9,71750
Human Planet,9,29886
Frozen Planet,9,35613
Hunter x Hunter,9,163672
Only Fools and Horses,9,60695
Firefly,8.9,290715
The Civil War,9,21306
Death Note: Desu nôto,8.9,424881
Gravity Falls,8.9,156686
Gibi,9,29212
Seinfeld,8.9,368671
Dekalog,8.9,30713
The Beatles: Get Back,8.9,32153
Kaubôi bibappu: Cowboy Bebop,8.9,153842
True Detective,8.9,702522
Fargo,8.8,444627
Nathan for You,8.9,43531
The Pitt,8.9,44987
Sahsiyet,9,51662
Apocalypse: La 2ème guerre mondiale,9,16549
Taskmaster,9,24572
Sôsô no Furîren,8.9,41461
Africa,8.9,19168
When They See Us,8.8,148006
Friends,8.9,1143953
Last Week Tonight with John Oliver,8.8,99929
It&apos;s Always Sunny in Philadelphia,8.8,265882
Succession,8.8,316894
The West Wing,8.9,91827
TVF Pitchers,9.1,75519
One Piece: Wan pîsu,9,296840
Curb Your Enthusiasm,8.8,157123
Monty Python&apos;s Flying Circus,8.8,82466
Das Boot,8.8,36084
BoJack Horseman,8.8,210090
Fawlty Towers,8.8,105063
Panchayat,9,102808
The Chosen,9.1,58022
Dragon Ball Z,8.8,162312
Leyla ile Mecnun,9,99699
Blackadder Goes Forth,8.8,60454
Bleach: Sennen Kessen-hen,9,60981
Pride and Prejudice,8.8,98144
Freaks and Geeks,8.8,159792
Twin Peaks,8.7,231556
Dragon Ball Z: Doragon bôru zetto,8.8,96238
Chappelle&apos;s Show,8.8,76080
Narcos,8.7,500880
Vinland Saga,8.8,100265
Gullak,9.1,26370
"I, Claudius",8.8,20936
Kota Factory,9,87845
South Park,8.7,422584
Eungdaphara 1988,9,15760
Black Mirror,8.7,692577
Pokssak Sogatsuda,9.2,17326
Ted Lasso,8.8,400195
Over the Garden Wall,8.7,80229
Peaky Blinders,8.7,711084
Steins;Gate,8.8,82736
Six Feet Under,8.7,158759
Naui ajusshi,9,12724
Rome,8.7,194964
X-Men &apos;97,8.7,44907
Oz,8.7,112234
Kenpuu Denki Berserk,8.7,65844
Dark,8.7,491218
Severance,8.7,315530
Fleabag,8.7,226895
The Shield,8.7,92999
Downton Abbey,8.7,234693
The Grand Tour,8.7,90749
Battlestar Galactica,8.7,182227
Mad Men,8.7,275006
Peep Show,8.7,70554
Blue Eye Samurai,8.7,91031
The Simpsons,8.6,453350
Invincible,8.7,274269
Star Trek: The Next Generation,8.7,143702
Monster,8.7,56897
Naruto: Shippûden,8.7,197790
House M.D.,8.7,557981
Arrested Development,8.6,334656
One Punch Man: Wanpanman,8.7,201646
Justice League Unlimited,8.7,23232
The Adventures of Sherlock Holmes,8.7,26025
Mahabharat,8.9,25392
Line of Duty,8.7,75767
Friday Night Lights,8.7,76084
The Boys,8.6,776584
The Marvelous Mrs. Maisel,8.7,151008
Top Gear,8.7,132474
The Last of Us,8.7,652823
