Title,Score
Planet Earth: Blue Planet II,97
The Office (UK),97
America to Me,96
The U.S. and the Holocaust,96
O.J.: Made in America,96
Bo Burnham: Inside,96
Planet Earth II,96
The Staircase,95
The Larry Sanders Show,95
Homicide: Life on the Street,95
The Sopranos,94
City So Real,93
Bleak House,93
Homecoming: A Film by Beyoncé,93
Samurai Jack,93
Fleabag,92
The Underground Railroad,92
Atlanta,92
Romeo & Juliet,92
My So-Called Life,92
Genndy Tartakovsky's Primal,91
The Last Movie Stars,91
This Is Going To Hurt,91
It's a Sin,91
Borgen,91
Frozen Planet,91
Adolescence,91
The Wire,91
The Zen Diaries of Garry Shandling,90
Last Chance U: Basketball,90
The Night Of,90
The Last Dance,90
The Corner,90
How to With John Wilson,90
The Vietnam War,90
A Black Lady Sketch Show,89
Boomtown,89
Battlestar Galactica (2003),89
Reservation Dogs,89
Visible: Out on Television,89
The Shield,89
Olive Kitteridge,89
Murder One,89
My Brilliant Friend,89
A Parks and Recreation Special,89
Somebody Somewhere,89
The Americans,89
The Returned,89
Fraggle Rock: Back to the Rock,89
The Hollow Crown,89
The Responder,88
Mind Over Murder,88
Everybody Hates Chris,88
Sherlock,88
The Roosevelts: An Intimate History,88
Rectify,88
Better Things,88
Brooklyn Bridge,88
Longford,88
Barry,88
Freaks and Geeks,88
Muhammad Ali,88
Baby Reindeer,88
Back to Life,88
Malcolm in the Middle,88
The Curse,88
Master of None,87
Springsteen on Broadway,87
Catastrophe,87
Happy Valley,87
Lenox Hill,87
Felicity,87
Mr. Show with Bob and David,87
Louie,87
The Baby-Sitters Club (2020),87
Rain Dogs,87
John Mulaney & The Sack Lunch Bunch,87
Hacks,87
Sherwood,87
The Simpsons,87
Wolf Hall,87
Ed,87
Mrs. America,87
City of Men,87
Breaking Bad,87
Modern Family,87
Pachinko,87
Boston Med,87
PEN15,87
Band of Brothers,87
The Bear,86
Painting With John,86
Game of Thrones,86
Howards End,86
Beef,86
The Pacific,86
Deadwood: The Movie,86
Justified,86
When They See Us,86
American Crime,86
Elizabeth Is Missing,86
Prohibition,86
The Trip to Bountiful,86
I May Destroy You,86
Top Boy,86
The Rehearsal,86
Mad Men,86
Better Call Saul,86
Line of Duty,86
Chloe,86
Succession,86
Undone,86
Arcane: League of Legends,86
Transparent,85
"The Black Church: This Is Our Story, This Is Our Song",85
Last Call: When A Serial Killer Stalked Queer New York,85
I Hate Suzie,85
Prehistoric Planet,85
Dreaming Whilst Black,85
Best Interests,85
Hemingway,85
Undeclared,85
The Beatles: Get Back,85
Deadwood,85
Show Me a Hero,85
Pushing Daisies,85
Colin From Accounts,85
Lady Dynamite,85
Six by Sondheim,85
"McCartney 3,2,1",85
Between the World and Me,85
Buffy the Vampire Slayer,85
Little America,85
Back,85
Treme,85
I'm A Virgo,85
Unorthodox,85
Shogun (2024),85
The Deuce,85
Severance,85
Rick and Morty,85
The Normal Heart,85
House of Cards,85
Harley Quinn,85
Rescue Me,85
George Carlin's American Dream,85
Watchmen (2019),85
Wonderland,85
Feel Good (2020),85
What's My Name: Muhammad Ali,85
Wu-Tang Clan: Of Mics and Men,85
A Very English Scandal,84
Silicon Valley,84
Insecure,84
Los Espookys,84
The Crime of the Century,84
The Good Lord Bird,84
RAMY,84
Elvis Presley: The Searcher,84
Full Frontal with Samantha Bee,84
Russian Doll,84
Broadchurch,84
Big Boys,84
EZ Streets,84
Immigration Nation,84
The Dresser (2016),84
MasterChef Junior,84
Curb Your Enthusiasm,84
Forever (2025),84
Leaving Neverland,84
Nashville (2012),84
Seinfeld,84
Dear White People (2017),84
Our Planet,84
Fargo,84
The Trade,84
Irma Vep,84
All Creatures Great and Small (2021),84
No Direction Home: Bob Dylan,84
Too Close,84
Monty Python: Almost the Truth (The Lawyer's Cut),84
Sports Night,84
Rivals,84
Lost,84
Wise Guy: David Chase and The Sopranos,84
Fantasmas,84
The American Buffalo,84
We Are Lady Parts,84
Toxic Town,84
Andor,83
Extras,83
Twin Peaks,83
Exterminate All the Brutes,83
P-Valley,83
Big Mouth,83
The Kids in the Hall,83
Our Boys,83
Whoopi Goldberg Presents Moms Mabley,83
Stolen Youth: Inside the Cult at Sarah Lawrence,83
1971: The Year That Music Changed Everything,83
Evil,83
English Teacher,83
A Small Light,83
We Need to Talk About Cosby,83
We Own This City,83
The Narrow Road to the Deep North,83
Roots (2016),83
The Last of Us,83
Time of Death,83
Random Acts Of Flyness,83
Abbott Elementary,83
What We Do in the Shadows (2019),83
Interview With the Vampire,83
Cosmos: A Space-Time Odyssey,83
Jerrod Carmichael Reality Show,83
Masters of Sex,83
Jackie Robinson,83
Northern Exposure,83
Poker Face (2023),83
NYPD Blue,83
Behind the Candelabra,83
Unbelievable,83
