Title,user_rating
Breaking Bad,9.46
Planet Earth II,9.33
Band of Brothers,9.31
Chernobyl,9.28
Frieren: Beyond Journey's End,9.27
Avatar: The Last Airbender,9.26
The Wire,9.25
Game of Thrones,9.16
The Sopranos,9.13
Fullmetal Alchemist: Brotherhood,9.09
Our Planet,9.08
Steins;Gate,9.05
The Vietnam War,9.03
Bluey,9.03
Hunter x Hunter,9.02
Arcane: League of Legends,9
Rick and Morty,8.98
Sherlock,8.97
Better Call Saul,8.96
The Last Dance,8.95
The Twilight Zone,8.91
Frozen Planet,8.9
Dekalog: The Ten Commandments,8.84
Gravity Falls,8.82
Succession,8.81
The Beatles: Get Back,8.8
Attack on Titan,8.77
Fargo,8.77
Severance,8.77
Cowboy Bebop,8.76
Freaks and Geeks,8.74
When They See Us,8.74
Fleabag,8.71
Blue Eye Samurai,8.71
Line of Duty,8.7
Monty Python's Flying Circus,8.68
Over the Garden Wall,8.68
Death Note,8.65
The Shield,8.64
Mad Men,8.63
BoJack Horseman,8.63
"I, Claudius",8.62
Scavengers Reign,8.61
Atlanta,8.58
House of Cards,8.54
The Simpsons,8.53
It's a Sin,8.53
My Brilliant Friend,8.47
Borgen,8.41
The Night Of,8.38
